campaign_id,campaign_name,channel,funnel_stage,team,region,quarter,status,start_date,spend,impressions,clicks,ctr,conversions,conversion_rate,cpc,cpa,revenue_attributed,roas,engagement_score,is_anomaly_flag
CMP-1000,Q1 Product Launch - Q3 2025,Paid Search,Awareness,Demand Gen,North America,Q3 2025,Active,2025-07-21,6357.06,396123,10023,2.53,553,5.522,0.63,11.5,337751.43,53.13,100.0,False
CMP-1001,Q1 Product Launch - Q4 2025,Paid Search,Awareness,Demand Gen,EMEA,Q4 2025,Paused,2025-10-05,5772.1,350726,3810,1.086,29,0.772,1.51,199.04,9314.4,1.61,40.2,True
CMP-1002,Q1 Product Launch - Q1 2026,Paid Search,Awareness,Demand Gen,EMEA,Q1 2026,Completed,2026-01-22,4731.51,410290,14416,3.514,364,2.528,0.33,13.0,114978.22,24.3,100.0,False
CMP-1003,Enterprise Webinar Series - Q3 2025,Webinar,Consideration,Product Marketing,LATAM,Q3 2025,Paused,2025-07-02,881.36,77357,3313,4.283,256,7.745,0.27,3.44,162430.15,184.29,100.0,False
CMP-1004,Enterprise Webinar Series - Q4 2025,Webinar,Consideration,Product Marketing,EMEA,Q4 2025,Completed,2025-09-30,1739.57,18238,866,4.753,56,6.492,2.01,31.06,21848.35,12.56,100.0,False
CMP-1005,Enterprise Webinar Series - Q1 2026,Webinar,Consideration,Product Marketing,North America,Q1 2026,Paused,2026-01-05,1512.43,26417,1372,5.196,71,5.18,1.1,21.3,73884.34,48.85,100.0,False
CMP-1006,SMB Email Nurture - Q3 2025,Email,Decision,Lifecycle,North America,Q3 2025,Active,2025-07-27,157.73,40093,134,0.336,1,0.989,1.18,157.73,730.24,4.63,55.5,True
CMP-1007,SMB Email Nurture - Q4 2025,Email,Decision,Lifecycle,LATAM,Q4 2025,Active,2025-10-11,372.49,75644,378,0.501,2,0.759,0.99,186.25,1369.89,3.68,45.2,True
CMP-1008,SMB Email Nurture - Q1 2026,Email,Decision,Lifecycle,LATAM,Q1 2026,Active,2026-01-13,54.82,25969,245,0.945,1,0.646,0.22,54.82,155.12,2.83,55.7,True
CMP-1009,Brand Awareness Push - Q3 2025,Display,Awareness,Brand,North America,Q3 2025,Completed,2025-07-09,22234.92,403676,290,0.072,0,0.183,76.67,0.0,0.0,0.0,13.6,True
CMP-1010,Brand Awareness Push - Q4 2025,Display,Awareness,Brand,APAC,Q4 2025,Completed,2025-10-27,13184.36,65789,432,0.658,2,0.663,30.52,6592.18,1409.06,0.11,76.6,False
CMP-1011,Brand Awareness Push - Q1 2026,Display,Awareness,Brand,North America,Q1 2026,Paused,2026-01-02,3684.83,200306,1325,0.662,14,1.132,2.78,263.2,1888.13,0.51,100.0,False
CMP-1012,Customer Onboarding Drip - Q3 2025,Email,Retention,Lifecycle,LATAM,Q3 2025,Completed,2025-07-03,266.35,21483,453,2.111,16,3.58,0.59,16.65,5783.77,21.71,100.0,False
CMP-1013,Customer Onboarding Drip - Q4 2025,Email,Retention,Lifecycle,EMEA,Q4 2025,Completed,2025-10-29,344.93,45857,1385,3.021,60,4.336,0.25,5.75,39064.33,113.25,100.0,False
CMP-1014,Customer Onboarding Drip - Q1 2026,Email,Retention,Lifecycle,North America,Q1 2026,Active,2026-01-04,115.06,33864,577,1.704,25,4.475,0.2,4.6,1750.25,15.21,100.0,False
CMP-1015,LinkedIn ABM Campaign - Q3 2025,Paid Social,Consideration,Demand Gen,EMEA,Q3 2025,Active,2025-07-03,13941.61,389245,8046,2.067,163,2.031,1.73,85.53,111751.99,8.02,100.0,False
CMP-1016,LinkedIn ABM Campaign - Q4 2025,Paid Social,Consideration,Demand Gen,North America,Q4 2025,Completed,2025-10-02,10866.45,462899,8192,1.77,182,2.233,1.33,59.71,66987.04,6.16,100.0,False
CMP-1017,LinkedIn ABM Campaign - Q1 2026,Paid Social,Consideration,Demand Gen,North America,Q1 2026,Active,2026-01-22,11766.73,231187,2275,0.984,41,1.816,5.17,286.99,12625.47,1.07,81.9,False
CMP-1018,Google Ads Retargeting - Q3 2025,Paid Search,Decision,Growth,North America,Q3 2025,Active,2025-07-18,21064.66,58896,3528,5.991,212,6.021,5.97,99.36,54454.2,2.59,100.0,False
CMP-1019,Google Ads Retargeting - Q4 2025,Paid Search,Decision,Growth,North America,Q4 2025,Active,2025-10-27,10370.12,495762,5816,1.173,46,0.802,1.78,225.44,34292.78,3.31,60.7,True
CMP-1020,Google Ads Retargeting - Q1 2026,Paid Search,Decision,Growth,LATAM,Q1 2026,Active,2026-01-18,24249.02,313657,16279,5.19,387,2.382,1.49,62.66,51237.48,2.11,87.8,False
CMP-1021,Partner Co-Marketing - Q3 2025,Content Syndication,Awareness,Field Marketing,EMEA,Q3 2025,Active,2025-07-17,21432.22,45924,905,1.971,28,3.107,23.68,765.44,4003.38,0.19,98.8,False
CMP-1022,Partner Co-Marketing - Q4 2025,Content Syndication,Awareness,Field Marketing,North America,Q4 2025,Paused,2025-10-17,15008.13,284088,4174,1.469,82,1.967,3.6,183.03,38082.21,2.54,81.5,False
CMP-1023,Partner Co-Marketing - Q1 2026,Content Syndication,Awareness,Field Marketing,APAC,Q1 2026,Active,2026-01-18,23457.62,14883,256,1.725,10,3.996,91.63,2345.76,3404.56,0.15,94.1,False
CMP-1024,Renewal Campaign - Q3 2025,Email,Retention,Lifecycle,APAC,Q3 2025,Completed,2025-07-05,184.76,25676,809,3.152,31,3.841,0.23,5.96,18997.21,102.82,100.0,False
CMP-1025,Renewal Campaign - Q4 2025,Email,Retention,Lifecycle,APAC,Q4 2025,Completed,2025-09-29,439.06,39664,149,0.377,0,0.425,2.95,0.0,0.0,0.0,11.0,True
CMP-1026,Renewal Campaign - Q1 2026,Email,Retention,Lifecycle,EMEA,Q1 2026,Completed,2026-01-07,252.7,37914,1790,4.722,89,5.007,0.14,2.84,16478.17,65.21,100.0,False
CMP-1027,Competitive Displacement - Q3 2025,Paid Search,Decision,Demand Gen,EMEA,Q3 2025,Paused,2025-07-11,18789.54,299239,15152,5.064,710,4.691,1.24,26.46,258096.75,13.74,100.0,False
CMP-1028,Competitive Displacement - Q4 2025,Paid Search,Decision,Demand Gen,North America,Q4 2025,Completed,2025-10-16,4554.25,76818,1748,2.276,66,3.785,2.61,69.0,91270.72,20.04,100.0,False
CMP-1029,Competitive Displacement - Q1 2026,Paid Search,Decision,Demand Gen,EMEA,Q1 2026,Completed,2026-01-03,14437.2,468601,17838,3.807,886,4.967,0.81,16.29,362670.31,25.12,100.0,False
CMP-1030,Thought Leadership Blog - Q3 2025,Organic Social,Awareness,Brand,EMEA,Q3 2025,Completed,2025-07-26,368.28,48540,129,0.268,0,0.219,2.85,0.0,0.0,0.0,12.3,True
CMP-1031,Thought Leadership Blog - Q4 2025,Organic Social,Awareness,Brand,North America,Q4 2025,Active,2025-10-24,235.35,31158,85,0.276,0,0.23,2.77,0.0,0.0,0.0,12.6,True
CMP-1032,Thought Leadership Blog - Q1 2026,Organic Social,Awareness,Brand,EMEA,Q1 2026,Active,2026-01-18,34.71,41585,339,0.817,4,1.272,0.1,8.68,3813.51,109.87,100.0,False
CMP-1033,Free Trial Activation - Q3 2025,Email,Decision,Growth,APAC,Q3 2025,Active,2025-07-04,132.73,19208,707,3.684,21,3.081,0.19,6.32,13708.4,103.28,100.0,False
CMP-1034,Free Trial Activation - Q4 2025,Email,Decision,Growth,EMEA,Q4 2025,Active,2025-10-11,0.85,75575,3013,3.988,161,5.37,0.0,0.01,62253.61,73617.23,100.0,False
CMP-1035,Free Trial Activation - Q1 2026,Email,Decision,Growth,APAC,Q1 2026,Paused,2026-01-26,62.31,44363,1501,3.384,64,4.318,0.04,0.97,31150.62,499.91,100.0,False
CMP-1036,Annual Conference Promo - Q3 2025,Display,Awareness,Field Marketing,LATAM,Q3 2025,Completed,2025-07-14,15772.36,167784,729,0.435,8,1.134,21.64,1971.54,1703.3,0.11,96.1,False
CMP-1037,Annual Conference Promo - Q4 2025,Display,Awareness,Field Marketing,APAC,Q4 2025,Active,2025-10-19,6128.83,258085,1602,0.621,19,1.245,3.83,322.57,15873.65,2.59,100.0,False
CMP-1038,Annual Conference Promo - Q1 2026,Display,Awareness,Field Marketing,APAC,Q1 2026,Active,2026-01-17,6636.85,172749,600,0.348,3,0.575,11.06,2212.28,301.13,0.05,54.8,False
CMP-1039,Case Study Distribution - Q3 2025,Content Syndication,Consideration,Product Marketing,North America,Q3 2025,Active,2025-07-25,14816.1,386620,8325,2.153,217,2.61,1.78,68.28,84742.77,5.72,100.0,False
CMP-1040,Case Study Distribution - Q4 2025,Content Syndication,Consideration,Product Marketing,North America,Q4 2025,Completed,2025-10-26,20298.64,374858,6868,1.832,95,1.388,2.96,213.67,45977.44,2.27,80.6,False
CMP-1041,Case Study Distribution - Q1 2026,Content Syndication,Consideration,Product Marketing,APAC,Q1 2026,Completed,2026-01-11,15703.66,387106,9699,2.506,235,2.424,1.62,66.82,174891.71,11.14,100.0,False
